CustomerID,Gender,SeniorCitizen,TenureMonths,Contract,PaperlessBilling,PaymentMethod,InternetService,OnlineSecurity,TechSupport,MonthlyCharges,TotalCharges,SupportTickets,PaymentDelays,Churn
CUST-10042,Female,1,42,Month-to-month,Yes,Electronic check,No,No,Yes,78.76,3314.92,2,1,Yes
CUST-10043,Female,0,9,Month-to-month,No,Electronic check,DSL,No,Yes,104.19,964.07,1,0,No
CUST-10044,Female,0,25,Month-to-month,No,Credit card (automatic),DSL,No,Yes,92.38,2280.69,2,2,Yes
CUST-10045,Female,0,2,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,Yes,No,56.27,56.27,1,0,Yes
CUST-10046,Female,0,19,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,Yes,Yes,118.13,2196.2,1,1,Yes
CUST-10047,Male,0,20,Month-to-month,Yes,Mailed check,Fiber optic,Yes,Yes,84.87,1750.18,0,1,No
CUST-10048,Female,0,70,Month-to-month,No,Credit card (automatic),DSL,Yes,Yes,100.18,6979.27,1,0,No
CUST-10049,Female,0,17,One year,No,Credit card (automatic),No,Yes,Yes,85.55,1432.25,1,0,No
CUST-10050,Male,0,68,Month-to-month,Yes,Mailed check,No,Yes,Yes,117.69,7987.3,1,0,No
CUST-10051,Female,0,3,Month-to-month,Yes,,Fiber optic,No,No,100.8,271.44,1,0,No
CUST-10052,Male,0,51,One year,Yes,Bank transfer (automatic),Fiber optic,No,No,70.45,3558.29,3,2,Yes
CUST-10053,Female,1,26,Two year,Yes,Bank transfer (automatic),Fiber optic,No,No,55.12,1389.56,0,1,No
CUST-10054,Male,0,56,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,No,No,86.81,4931.39,1,2,No
CUST-10055,Female,1,64,Month-to-month,No,Credit card (automatic),Fiber optic,No,No,77.57,4998.49,2,0,No
CUST-10056,Female,0,8,Two year,Yes,Credit card (automatic),Fiber optic,No,No,81.5,714.39,2,3,No
CUST-10057,Male,0,37,Month-to-month,No,Mailed check,Fiber optic,Yes,Yes,52.72,2023.11,4,1,Yes
CUST-10058,Male,0,27,Two year,No,Electronic check,DSL,No,No,61.34,1538.69,2,3,No
CUST-10059,Male,0,45,Month-to-month,No,Electronic check,Fiber optic,No,No,74.34,3362.47,2,3,Yes
CUST-10060,Male,0,4,Two year,No,Electronic check,Fiber optic,Yes,No,102.6,381.09,2,1,Yes
CUST-10061,Male,0,37,Month-to-month,No,Electronic check,Fiber optic,Yes,No,94.92,3567.88,1,1,Yes
CUST-10062,Male,0,71,Two year,No,Electronic check,Fiber optic,No,No,30.17,2105.0,1,0,No
CUST-10063,Male,0,33,Month-to-month,No,Bank transfer (automatic),Fiber optic,No,No,42.93,1363.98,0,1,Yes
CUST-10064,Male,0,31,One year,No,Mailed check,Fiber optic,No,No,20.93,577.13,0,1,No
CUST-10065,Female,0,55,Month-to-month,Yes,Electronic check,DSL,Yes,No,19.05,1032.62,1,1,No
CUST-10066,Female,0,12,Month-to-month,Yes,Electronic check,Fiber optic,Yes,Yes,40.8,535.35,0,2,No
CUST-10067,Male,0,11,One year,Yes,Electronic check,No,Yes,No,98.58,1097.19,2,1,Yes
CUST-10068,Female,0,72,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,Yes,No,109.18,7800.83,1,3,No
CUST-10069,Female,1,32,Two year,Yes,Electronic check,Fiber optic,No,No,57.62,1951.47,1,2,No
CUST-10070,Female,0,57,Month-to-month,No,Mailed check,Fiber optic,No,No,74.85,4298.93,0,2,Yes
CUST-10071,Female,1,38,Two year,No,Bank transfer (automatic),No,No,No,89.21,3428.85,2,1,No
CUST-10072,Male,0,60,Month-to-month,No,Bank transfer (automatic),Fiber optic,Yes,Yes,114.02,6905.45,0,1,Yes
CUST-10073,Female,0,19,Two year,No,Credit card (automatic),No,Yes,Yes,110.0,2007.99,0,0,No
CUST-10074,Male,0,56,Two year,No,Credit card (automatic),No,No,Yes,24.0,1298.43,0,2,No
CUST-10075,Female,0,14,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,No,Yes,43.19,645.81,2,1,No
CUST-10076,Female,1,33,Two year,Yes,Electronic check,Fiber optic,No,Yes,23.19,724.73,1,1,No
CUST-10077,Female,0,10,Two year,No,Electronic check,DSL,Yes,No,80.21,788.35,1,1,Yes
CUST-10078,Male,0,64,Month-to-month,Yes,Electronic check,Fiber optic,No,Yes,89.65,5733.71,1,0,No
CUST-10079,Female,0,64,One year,Yes,Electronic check,Fiber optic,Yes,Yes,49.23,3086.85,1,1,No
CUST-10080,Male,0,62,Month-to-month,Yes,Credit card (automatic),No,No,Yes,104.06,6433.68,1,1,No
CUST-10081,Female,1,68,Two year,Yes,Mailed check,Fiber optic,No,Yes,63.76,4381.41,0,1,No
CUST-10082,Male,0,43,Month-to-month,Yes,Bank transfer (automatic),No,Yes,No,118.59,5135.84,2,2,No
CUST-10083,Female,0,59,Month-to-month,No,Electronic check,DSL,Yes,No,18.29,1134.76,2,2,No
CUST-10084,Male,0,52,Month-to-month,Yes,Credit card (automatic),Fiber optic,Yes,Yes,29.25,1571.49,3,2,Yes
CUST-10085,Male,0,19,One year,Yes,Mailed check,Fiber optic,No,No,48.58,943.31,3,0,Yes
CUST-10086,Female,0,21,Two year,No,Bank transfer (automatic),Fiber optic,Yes,No,20.81,453.34,2,0,Yes
CUST-10087,Male,0,22,Two year,No,Bank transfer (automatic),No,No,No,96.88,2144.03,3,1,Yes
CUST-10088,Female,0,9,Month-to-month,No,Bank transfer (automatic),DSL,Yes,No,23.55,180.6,1,2,Yes
CUST-10089,Female,0,9,Month-to-month,No,Electronic check,DSL,No,Yes,93.52,790.18,0,1,Yes
CUST-10090,Female,0,27,One year,No,Bank transfer (automatic),Fiber optic,Yes,No,23.53,600.83,1,0,No
CUST-10091,Female,0,17,One year,No,Electronic check,Fiber optic,Yes,No,43.65,725.75,1,0,No
CUST-10092,Female,0,44,Month-to-month,No,Mailed check,No,No,Yes,102.8,4490.41,2,0,No
CUST-10093,Female,0,45,Month-to-month,No,Credit card (automatic),No,Yes,Yes,113.84,5143.49,1,0,Yes
CUST-10094,Female,0,8,Month-to-month,Yes,Credit card (automatic),DSL,No,No,59.91,489.37,0,1,Yes
CUST-10095,Female,0,18,Month-to-month,No,Credit card (automatic),Fiber optic,No,Yes,115.73,2098.61,2,0,Yes
CUST-10096,Female,0,33,One year,No,Bank transfer (automatic),Fiber optic,No,Yes,81.25,2698.82,1,2,No
CUST-10097,Female,0,1,Month-to-month,Yes,Credit card (automatic),No,Yes,Yes,60.04,119.82,0,1,Yes
CUST-10098,Female,0,6,Two year,No,Mailed check,No,No,Yes,98.93,593.15,1,0,Yes
CUST-10099,Male,0,41,Month-to-month,No,Electronic check,Fiber optic,Yes,No,47.93,2015.55,0,0,No
CUST-10100,Male,0,55,Month-to-month,No,Credit card (automatic),Fiber optic,Yes,Yes,44.96,2498.63,3,3,Yes
CUST-10101,Female,0,5,Two year,No,Electronic check,DSL,No,No,84.23,477.63,0,0,No
CUST-10102,Female,0,59,One year,Yes,Electronic check,Fiber optic,Yes,Yes,57.49,3472.64,0,1,No
CUST-10103,Female,0,18,Month-to-month,Yes,Credit card (automatic),Fiber optic,No,No,31.91,603.21,2,1,Yes
CUST-10104,Female,0,49,One year,No,Credit card (automatic),Fiber optic,No,Yes,24.98,1229.21,0,0,No
CUST-10105,Female,0,65,Month-to-month,Yes,Credit card (automatic),Fiber optic,No,Yes,97.43,6337.82,0,0,No
CUST-10106,Female,0,54,Two year,Yes,Bank transfer (automatic),Fiber optic,No,Yes,86.18,4630.21,5,2,No
CUST-10107,Female,0,61,Month-to-month,Yes,Credit card (automatic),Fiber optic,No,No,59.64,3612.85,1,0,Yes
CUST-10108,Female,0,8,One year,Yes,Bank transfer (automatic),Fiber optic,No,No,108.32,911.67,4,0,Yes
CUST-10109,Male,0,3,Month-to-month,Yes,Mailed check,DSL,Yes,Yes,59.54,130.44,1,0,Yes
CUST-10110,Female,0,25,Month-to-month,Yes,Electronic check,DSL,Yes,Yes,89.63,2321.49,0,0,No
CUST-10111,Male,0,69,Two year,No,Mailed check,DSL,Yes,Yes,109.62,7556.19,3,3,Yes
CUST-10112,Female,0,55,Two year,No,Credit card (automatic),No,Yes,No,102.74,5793.8,1,1,Yes
CUST-10113,Female,0,40,Month-to-month,Yes,Electronic check,DSL,Yes,No,69.62,2750.14,1,0,No
CUST-10114,Male,0,50,Month-to-month,Yes,Credit card (automatic),No,No,No,86.65,4345.01,3,0,No
CUST-10115,Female,0,33,Month-to-month,Yes,Credit card (automatic),DSL,Yes,No,59.82,1956.47,1,3,Yes
CUST-10116,Male,0,18,One year,No,Electronic check,Fiber optic,No,Yes,83.29,1459.57,1,2,No
CUST-10117,Female,0,57,One year,No,Mailed check,No,Yes,No,44.13,2568.6,0,0,No
CUST-10118,Female,1,16,One year,No,Credit card (automatic),Fiber optic,Yes,No,61.94,935.76,0,3,No
CUST-10119,Male,0,38,Month-to-month,No,Electronic check,DSL,No,Yes,39.31,1459.98,3,1,Yes
CUST-10120,Female,0,41,Two year,No,Mailed check,DSL,Yes,Yes,22.09,935.01,1,1,No
CUST-10121,Male,1,7,Month-to-month,No,Bank transfer (automatic),No,Yes,No,77.4,579.05,2,1,Yes
CUST-10122,Female,0,53,Month-to-month,Yes,Mailed check,Fiber optic,Yes,No,105.13,5502.3,0,0,No
CUST-10123,Male,1,63,One year,No,Mailed check,Fiber optic,No,Yes,20.82,1340.74,1,0,No
CUST-10124,Male,0,32,Two year,No,Electronic check,Fiber optic,Yes,No,37.95,1220.84,0,1,No
CUST-10125,Female,1,38,One year,No,Mailed check,Fiber optic,No,Yes,64.5,2405.11,1,3,Yes
CUST-10126,Female,0,22,One year,Yes,Bank transfer (automatic),DSL,Yes,No,85.17,1834.3,2,2,Yes
CUST-10127,Male,0,16,One year,No,Bank transfer (automatic),Fiber optic,No,No,35.46,465.69,2,0,No
CUST-10128,Female,0,52,Two year,Yes,Credit card (automatic),Fiber optic,Yes,No,23.95,1331.27,2,1,No
CUST-10129,Female,0,29,Month-to-month,Yes,Bank transfer (automatic),DSL,No,Yes,70.41,2092.66,1,0,No
CUST-10130,Female,0,16,Month-to-month,No,Credit card (automatic),No,No,No,100.53,1544.02,2,2,Yes
CUST-10131,Male,0,17,Two year,No,Bank transfer (automatic),No,Yes,Yes,21.79,410.38,0,0,No
CUST-10132,Male,0,64,Two year,No,Mailed check,No,Yes,Yes,53.36,3386.34,0,0,No
CUST-10133,Male,0,13,Month-to-month,Yes,Credit card (automatic),DSL,Yes,No,84.93,1149.83,0,0,Yes
CUST-10134,Male,0,72,Month-to-month,No,Bank transfer (automatic),DSL,No,No,31.39,2235.28,0,1,No
CUST-10135,Male,0,56,Month-to-month,Yes,Mailed check,No,Yes,No,41.96,2331.59,1,0,No
CUST-10136,Male,1,5,Month-to-month,Yes,Mailed check,DSL,No,Yes,72.07,345.93,0,2,Yes
CUST-10137,Male,0,12,Two year,No,Credit card (automatic),DSL,Yes,No,114.05,1335.73,3,1,Yes
CUST-10138,Male,1,41,Month-to-month,No,Electronic check,No,Yes,Yes,47.13,2002.29,5,3,Yes
CUST-10139,Male,0,3,Two year,No,Mailed check,DSL,No,Yes,67.25,246.68,0,0,Yes
CUST-10140,Female,0,33,Month-to-month,Yes,Mailed check,Fiber optic,Yes,No,58.44,,1,0,Yes
CUST-10141,Male,0,50,Month-to-month,No,Electronic check,Fiber optic,Yes,No,108.44,5473.23,4,0,Yes
CUST-10142,Female,0,56,Month-to-month,Yes,Credit card (automatic),No,Yes,No,25.47,1344.97,0,3,No
CUST-10143,Female,0,9,One year,No,Bank transfer (automatic),DSL,No,No,75.15,614.93,1,1,No
CUST-10144,Female,0,50,One year,Yes,Bank transfer (automatic),No,No,Yes,103.29,5188.23,2,1,No
CUST-10145,Male,0,29,One year,No,Mailed check,Fiber optic,No,No,117.56,3446.02,0,1,No
CUST-10146,Male,1,39,Month-to-month,No,Electronic check,Fiber optic,No,Yes,88.47,3464.3,0,0,No
CUST-10147,Male,0,45,Month-to-month,Yes,Mailed check,DSL,Yes,No,56.43,2445.22,1,3,Yes
CUST-10148,Male,0,17,Month-to-month,Yes,Credit card (automatic),DSL,Yes,Yes,59.64,960.76,0,0,Yes
CUST-10149,Female,0,56,Month-to-month,No,Mailed check,Fiber optic,Yes,Yes,53.59,3021.87,2,0,No
CUST-10150,Male,0,46,One year,Yes,Bank transfer (automatic),Fiber optic,No,Yes,78.91,3751.18,2,1,Yes
CUST-10151,Male,0,67,One year,Yes,Electronic check,No,Yes,Yes,92.56,6262.42,1,2,No
CUST-10152,Male,0,69,One year,Yes,Credit card (automatic),Fiber optic,No,No,100.61,7020.96,3,2,No
CUST-10153,Male,0,14,Month-to-month,Yes,Mailed check,Fiber optic,Yes,No,60.12,858.67,2,0,Yes
CUST-10154,Male,0,67,Month-to-month,No,Bank transfer (automatic),Fiber optic,No,No,90.28,6065.38,3,0,No
CUST-10155,Female,0,23,Month-to-month,Yes,Mailed check,No,No,No,110.33,2485.92,2,1,Yes
CUST-10156,Male,0,61,Month-to-month,No,Bank transfer (automatic),Fiber optic,Yes,Yes,110.79,6805.78,1,1,No
CUST-10157,Female,1,23,Two year,No,Electronic check,DSL,No,No,89.0,2043.34,0,3,No
CUST-10158,Male,0,27,One year,No,Credit card (automatic),No,No,Yes,82.26,2255.66,0,2,No
CUST-10159,Female,0,54,Month-to-month,Yes,Mailed check,Fiber optic,Yes,Yes,71.67,3871.71,1,1,No
CUST-10160,Male,0,10,Month-to-month,No,Credit card (automatic),Fiber optic,No,Yes,36.66,380.56,1,0,Yes
CUST-10161,Male,1,16,Two year,No,Electronic check,Fiber optic,No,Yes,30.67,486.33,1,0,No
CUST-10162,Female,0,41,One year,No,Bank transfer (automatic),Fiber optic,Yes,Yes,67.06,,0,0,No
CUST-10163,Female,0,55,One year,No,Electronic check,DSL,No,Yes,34.27,1934.85,0,1,No
CUST-10164,Female,0,61,Month-to-month,No,Electronic check,DSL,No,Yes,76.24,4587.33,1,1,No
CUST-10165,Male,0,49,Month-to-month,Yes,,No,No,Yes,83.14,3999.21,1,1,Yes
CUST-10166,Female,0,52,Two year,No,Electronic check,DSL,Yes,Yes,71.07,3716.93,0,1,No
CUST-10167,Male,0,2,One year,Yes,Mailed check,Fiber optic,Yes,Yes,21.91,115.85,1,2,Yes
CUST-10168,Male,0,50,Month-to-month,No,Bank transfer (automatic),DSL,Yes,Yes,24.05,1287.14,4,0,No
CUST-10169,Female,0,43,Two year,No,Electronic check,Fiber optic,Yes,No,29.64,1213.3,2,1,Yes
CUST-10170,Female,0,8,One year,Yes,Mailed check,DSL,No,Yes,33.69,249.38,1,0,No
CUST-10171,Male,0,59,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,Yes,No,117.73,6872.11,0,0,No
CUST-10172,Male,0,65,Month-to-month,No,Credit card (automatic),Fiber optic,Yes,Yes,52.87,3409.02,2,1,Yes
CUST-10173,Female,0,12,Month-to-month,No,Bank transfer (automatic),,Yes,Yes,47.59,627.22,1,1,Yes
CUST-10174,Female,1,4,Month-to-month,No,Credit card (automatic),Fiber optic,Yes,Yes,23.5,93.36,0,2,Yes
CUST-10175,Female,0,41,One year,No,Bank transfer (automatic),No,No,Yes,82.1,,1,0,No
CUST-10176,Male,0,7,Month-to-month,No,Electronic check,Fiber optic,No,Yes,83.8,613.85,1,0,Yes
CUST-10177,Male,0,69,Two year,Yes,Credit card (automatic),No,Yes,No,35.88,2435.97,3,3,No
CUST-10178,Male,0,69,Two year,No,Credit card (automatic),No,No,No,110.63,7713.12,0,2,No
CUST-10179,Male,0,30,Month-to-month,No,Credit card (automatic),No,Yes,Yes,98.7,2961.36,3,1,Yes
CUST-10180,Male,0,6,Month-to-month,Yes,Electronic check,No,Yes,Yes,41.4,228.31,1,1,No
CUST-10181,Male,0,19,Two year,Yes,Electronic check,DSL,No,Yes,67.08,1303.86,2,0,Yes
CUST-10182,Female,0,66,One year,No,Bank transfer (automatic),No,No,No,64.32,4292.08,2,2,No
CUST-10183,Male,0,10,One year,Yes,Bank transfer (automatic),No,No,No,53.28,612.6,0,0,No
CUST-10184,Male,0,16,Month-to-month,Yes,Electronic check,,No,Yes,100.42,1596.22,1,0,Yes
CUST-10185,Male,0,37,Month-to-month,Yes,Electronic check,DSL,No,Yes,29.23,1135.81,2,1,No
CUST-10186,Female,0,32,One year,No,Credit card (automatic),No,No,Yes,59.99,1924.74,1,2,No
CUST-10187,Male,0,47,Two year,No,Bank transfer (automatic),Fiber optic,Yes,No,61.27,2849.12,0,0,No
CUST-10188,Male,0,72,Month-to-month,No,Bank transfer (automatic),Fiber optic,No,Yes,65.36,4667.08,1,0,No
CUST-10189,Female,0,43,Two year,Yes,Credit card (automatic),DSL,Yes,Yes,104.82,4452.41,2,0,No
CUST-10190,Male,0,36,Month-to-month,No,Credit card (automatic),DSL,Yes,Yes,40.18,1409.4,1,0,No
CUST-10191,Male,0,26,Two year,No,Credit card (automatic),No,Yes,No,28.59,799.13,1,1,No
CUST-10192,Male,0,10,One year,Yes,Mailed check,Fiber optic,Yes,Yes,80.34,,0,0,No
CUST-10193,Male,0,31,Month-to-month,No,Mailed check,Fiber optic,Yes,Yes,35.72,1045.26,1,2,Yes
CUST-10194,Male,1,29,One year,Yes,Electronic check,No,No,Yes,25.78,660.3,2,2,Yes
CUST-10195,Female,0,5,Month-to-month,Yes,Bank transfer (automatic),DSL,No,No,61.13,250.04,0,1,Yes
CUST-10196,Female,0,1,Month-to-month,Yes,Credit card (automatic),Fiber optic,Yes,No,40.32,40.32,0,1,Yes
CUST-10197,Female,0,3,Month-to-month,Yes,Credit card (automatic),Fiber optic,Yes,Yes,54.55,148.49,0,1,Yes
CUST-10198,Male,0,67,Month-to-month,No,Bank transfer (automatic),Fiber optic,No,No,44.35,3030.09,2,0,Yes
CUST-10199,Male,0,71,Month-to-month,No,Mailed check,DSL,Yes,Yes,27.56,1929.37,1,0,No
CUST-10200,Male,0,35,One year,No,Bank transfer (automatic),DSL,No,No,74.56,2693.62,1,2,Yes
CUST-10201,Female,1,15,One year,Yes,Electronic check,DSL,No,Yes,20.97,230.54,3,0,No
CUST-10202,Male,0,67,Month-to-month,No,Mailed check,Fiber optic,No,Yes,115.37,7712.36,3,0,Yes
CUST-10203,Male,0,30,Two year,No,Bank transfer (automatic),No,Yes,Yes,52.55,1615.78,2,3,No
CUST-10204,Female,0,43,One year,Yes,Bank transfer (automatic),Fiber optic,Yes,No,88.11,3831.09,1,0,Yes
CUST-10205,Male,0,60,Two year,Yes,Electronic check,DSL,Yes,No,99.69,5964.61,2,2,No
CUST-10206,Female,0,40,One year,No,Bank transfer (automatic),DSL,Yes,No,46.3,1902.09,0,1,No
CUST-10207,Female,0,65,Month-to-month,Yes,Mailed check,No,Yes,Yes,93.5,6118.11,1,2,Yes
CUST-10208,Female,0,29,Month-to-month,No,Credit card (automatic),No,Yes,No,101.91,2921.28,0,2,Yes
CUST-10209,Male,0,19,One year,Yes,Credit card (automatic),Fiber optic,Yes,Yes,42.5,823.25,2,0,No
CUST-10210,Male,0,3,Month-to-month,Yes,Credit card (automatic),DSL,Yes,No,118.0,389.18,1,1,Yes
CUST-10211,Male,0,36,Month-to-month,No,Mailed check,Fiber optic,No,Yes,20.33,701.35,2,0,No
CUST-10212,Male,0,43,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,Yes,Yes,40.06,1807.3,1,0,No
CUST-10213,Male,0,15,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,No,Yes,96.64,1407.83,3,0,Yes
CUST-10214,Male,0,41,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,No,Yes,37.76,1555.36,1,1,No
CUST-10215,Male,0,36,Month-to-month,No,Bank transfer (automatic),Fiber optic,No,No,88.43,3120.99,1,0,Yes
CUST-10216,Female,0,33,Month-to-month,No,Credit card (automatic),No,Yes,Yes,104.23,3444.76,4,0,Yes
CUST-10217,Male,1,5,One year,No,Mailed check,DSL,Yes,No,114.65,519.9,0,0,No
CUST-10218,Female,1,14,One year,Yes,Electronic check,No,Yes,Yes,65.91,908.03,2,0,Yes
CUST-10219,Male,0,68,Month-to-month,Yes,Mailed check,Fiber optic,No,Yes,115.85,7798.47,0,2,No
CUST-10220,Male,1,47,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,Yes,Yes,59.62,2842.13,0,3,Yes
CUST-10221,Male,0,54,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,Yes,No,40.17,2186.99,2,0,Yes
CUST-10222,Female,0,4,Month-to-month,No,Mailed check,Fiber optic,No,Yes,69.9,333.97,1,2,Yes
CUST-10223,Female,0,9,Month-to-month,No,Mailed check,Fiber optic,Yes,Yes,83.56,734.65,0,1,Yes
CUST-10224,Female,0,53,Month-to-month,Yes,Credit card (automatic),Fiber optic,No,Yes,64.28,3463.53,2,1,No
CUST-10225,Female,0,60,One year,No,Bank transfer (automatic),DSL,No,Yes,75.23,4515.76,1,0,No
CUST-10226,Male,0,46,Month-to-month,No,Mailed check,Fiber optic,No,No,60.1,2770.26,4,0,Yes
CUST-10227,Female,0,54,Month-to-month,No,Bank transfer (automatic),Fiber optic,Yes,Yes,70.99,3939.16,2,1,No
CUST-10228,Male,0,37,Month-to-month,Yes,,DSL,No,Yes,113.99,4193.4,1,0,No
CUST-10229,Male,0,23,One year,No,Bank transfer (automatic),No,No,Yes,68.48,1636.41,5,2,No
CUST-10230,Female,0,27,Two year,No,Mailed check,DSL,Yes,No,43.69,1203.61,2,0,No
CUST-10231,Female,0,70,One year,No,Bank transfer (automatic),Fiber optic,No,No,94.5,6586.4,3,1,No
CUST-10232,Female,0,66,One year,No,Electronic check,DSL,Yes,Yes,52.18,3378.1,2,1,No
CUST-10233,Female,1,61,Month-to-month,No,Credit card (automatic),Fiber optic,Yes,No,100.28,6065.43,1,1,Yes
CUST-10234,Female,1,51,Month-to-month,Yes,Electronic check,DSL,No,Yes,23.96,1278.49,2,1,No
CUST-10235,Female,0,50,Two year,No,Credit card (automatic),Fiber optic,Yes,No,51.63,2668.22,1,0,No
CUST-10236,Female,1,19,Month-to-month,No,Credit card (automatic),DSL,Yes,Yes,27.73,531.44,3,0,No
CUST-10237,Female,0,1,Two year,Yes,Mailed check,DSL,Yes,Yes,26.82,34.01,1,0,No
CUST-10238,Male,1,40,One year,No,Electronic check,Fiber optic,Yes,No,84.42,3415.62,2,3,No
CUST-10239,Female,0,32,One year,Yes,Credit card (automatic),Fiber optic,No,Yes,56.98,1827.03,1,0,No
CUST-10240,Female,0,22,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,Yes,Yes,105.83,2383.25,1,0,No
CUST-10241,Male,0,66,One year,Yes,Mailed check,DSL,Yes,No,70.15,4644.48,2,0,No
